movieCd,movieNm,movieNmEn,movieNmOg,watchGradeNm,openDt,showTm,genreNm,directors
19990220,노팅 힐,Notting Hill,Notting Hill,12세관람가,19990703,124,멜로/로맨스,Roger Michell
20180825,미성년,Another Child,,15세이상관람가,20190411,95,드라마,KIM Yun-seok
20198982,크게 될 놈,,,15세이상관람가,20190418,108,드라마,KANG Ji-eun
20198104,바이스,VICE,,15세이상관람가,20190411,132,드라마,Adam McKay
20185406,헬보이,Hellboy,,청소년관람불가,20190410,120,액션,Neil Marshall
20176103,돈,Money,,15세이상관람가,20190320,115,범죄,PARK Nu-ri
20182501,왓칭,Watching,,15세이상관람가,20190417,97,공포(호러),
20196244,샤잠!,SHAZAM!,,12세이상관람가,20190403,131,액션,David F. Sandberg
20197423,공포의 묘지,Pet Sematary,,15세이상관람가,20190410,100,공포(호러),Kevin Kolsch
20185352,어스,Us,,15세이상관람가,20190327,116,공포(호러),Jordan Peele
20198844,아이 엠 마더,Peppermint,,15세이상관람가,20190411,101,액션,Pierre Morel
20198403,파이브 피트,Five Feet Apart,,15세이상관람가,20190410,116,드라마,Justin Baldoni
20183773,장난스런 키스,Fall in Love at First Kiss,一吻定情,12세이상관람가,20190327,122,멜로/로맨스,Frankie Chen
20196025,덤보,Dumbo,,전체관람가,20190327,111,가족,Tim Burton
20197092,로망,Romang,,전체관람가,20190403,111,멜로/로맨스,LEE Chang-geun
20198146,콜레트,COLETTE,,15세이상관람가,20190327,112,드라마,Wash Westmoreland
20198023,고릴라와 슈퍼레이스,Louis & Nolan: The big Cheese Race,,전체관람가,20190403,77,애니메이션,Rasmus A. Sivertsen
20197846,악질경찰,Jo Pil-ho: The Dawning Rage,,청소년관람불가,20190320,127,범죄,LEE Jeong-beom
20166301,썬키스 패밀리,Sunkist Family,,15세이상관람가,20190327,105,가족,KIM Ji-hye
20197987,더 길티,The Guilty,Den skyldige,12세이상관람가,20190327,88,스릴러,Gustav Moller
20175407,우상,Idol,,15세이상관람가,20190320,143,스릴러,LEE Su-jin
20197283,이스케이프 룸,The Escape Room,,15세이상관람가,20190314,99,액션,Adam Robitel
20197617,정글북: 마법 원정대,Savva,,전체관람가,20190321,80,애니메이션,Maksim Fadeev
20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,Fate/stay night [Heaven's Feel] II.lost butterfly,,15세이상관람가,20190321,117,애니메이션,Tomonori Sudo
20197356,라스트 미션,The Mule,,15세이상관람가,20190314,116,드라마,Clint Eastwood
20184574,그린 북,Green Book,,12세이상관람가,20190109,130,드라마,Peter Farrelly
20196601,항거:유관순 이야기,A Resistance,,12세이상관람가,20190227,105,드라마,JOE Min-ho
20182530,극한직업,Extreme Job,,15세이상관람가,20190123,111,코미디,LEE Byoung-heon
20185881,증인,Innocent Witness,,12세이상관람가,20190213,129,드라마,LEE Han
20196723,숲속왕국의 꿀벌 여왕,Tall Tales,,전체관람가,20190314,87,애니메이션,Arnaud Bouron
20177539,사바하,SVAHA : THE SIXTH FINGER,,15세이상관람가,20190220,122,미스터리,JANG Jae-hyun
20177282,리노,Lino - Adventure of Seven Lives,Lino: Uma Aventura de Sete Vidas,전체관람가,20190307,88,애니메이션,Rafael Ribas
20180937,더 페이버릿: 여왕의 여자,THE FAVOURITE,,15세이상관람가,20190221,119,드라마,Giorgos Lanthimos
20195743,신데렐라:마법 반지의 비밀,Cinderella and The Secret Prince,,전체관람가,20190220,87,애니메이션,Lynne Southerland
20196323,더 와이프,The Wife,,15세이상관람가,20190227,100,드라마,Bjorn Runge
20176442,자전차왕 엄복동,Race to Freedom : Um Bok Dong,,12세이상관람가,20190227,116,드라마,KIM Ryu-sung
20186261,드래곤 길들이기 3,How to Train Your Dragon 3,How to Train Your Dragon: The Hidden World,전체관람가,20190130,104,애니메이션,Dean Deblois
20195791,"어쩌다, 결혼",Trade Your Love,,12세이상관람가,20190227,87,멜로/로맨스,PARK Su-jin
20188282,알리타: 배틀 엔젤,Alita: Battle Angel,,12세이상관람가,20190205,121,액션,Robert Rodriguez
20020222,해리포터와 비밀의 방,Harry Potter And The Chamber Of Secrets,,전체관람가,20021213,161,드라마,Chris Columbus
20185576,콜드 체이싱,Cold Pursuit,,15세이상관람가,20190220,118,액션,Hans Petter Moland
20195915,해피 데스데이 2 유,Happy Death Day 2 U,,15세이상관람가,20190214,100,공포(호러),Christopher Landon
20184888,메리 포핀스 리턴즈,Mary Poppins Returns,,전체관람가,20190214,130,판타지,Rob Marshall
20174169,기묘한 가족,THE ODD FAMILY : ZOMBIE ON SALE,,12세이상관람가,20190213,111,코미디,LEE Min-jae
20162003,명탐정 코난:전율의 악보,Detective Conan: Full Score of Fear,,12세이상관람가,20190214,115,애니메이션,Yasuichiro Yamamoto
20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,Hello Carbot The Movie: The Secret of Omphalos Island,,전체관람가,20190131,78,애니메이션,KIM Jin-cheol
20195984,드래곤볼 슈퍼: 브로리,Dragon Ball Super: Broly,ドラゴンボール超（スーパー） ブロリー,전체관람가,20190214,99,애니메이션,Nagamine Tatsuya
20180868,뺑반,Hit-and-Run Squad,,15세이상관람가,20190130,133,범죄,HAN Jun-hui
20185444,레고 무비2,The Lego Movie 2: The Second Part,,전체관람가,20190206,106,애니메이션,Mike Mitchell
20185124,러브 유어셀프 인 서울,LOVE YOURSELF IN SEOUL,,전체관람가,20190126,111,공연,
20184105,말모이,MAL·MO·E: The Secret Mission,,12세이상관람가,20190109,135,드라마,EOM Yuna
20184896,가버나움,Capharnaum,Capernaum,15세이상관람가,20190124,126,드라마,Nadine Labaki
20176251,내안의 그놈,The Dude in Me,,15세이상관람가,20190109,122,판타지,KANG Hyo-jin
20189463,주먹왕 랄프 2: 인터넷 속으로,Ralph Breaks the Internet,,전체관람가,20190103,112,애니메이션,Rich Moore
20182544,글래스,Glass,,15세이상관람가,20190117,129,드라마,M. Night Shyamalan
20186324,언더독,Underdog,,전체관람가,20190116,101,애니메이션,LEE Chun-baek
20189385,몬스터 파크,Here Comes the Grump,,전체관람가,20190123,86,애니메이션,Andres Couturier
20183915,극장판 공룡메카드: 타이니소어의 섬,,,전체관람가,20190110,70,애니메이션,CHOI Shin-gyu
20182588,미래의 미라이,MIRAI,未来のミライ(,전체관람가,20190116,97,애니메이션,Mamoru Hosoda
20182044,구스 베이비,Duck Duck Goose,,전체관람가,20190116,89,애니메이션,Christopher Jenkins
20185485,보헤미안 랩소디,Bohemian Rhapsody,,12세이상관람가,20181031,134,드라마,Bryan Singer
20180290,아쿠아맨,AQUAMAN,,12세이상관람가,20181219,143,액션,James Wan
20186281,범블비,Bumblebee,,12세이상관람가,20181225,113,액션,Travis Knight
20170658,PMC: 더 벙커,Take Point,,15세이상관람가,20181226,124,액션,KIM Byung-woo
20187427,명탐정 코난 : 제로의 집행인,Detective Conan: Zero the Enforcer,名探偵コナン ゼロの執行人,12세이상관람가,20180808,110,애니메이션,Yuzuru Tachikawa
20184187,언니,No Mercy,,청소년관람불가,20190101,93,액션,LIM Kyoung-tack
20175547,스윙키즈,Swing Kids,,12세이상관람가,20181219,133,드라마,KANG Hyoung-chul
20183785,점박이 한반도의 공룡2 : 새로운 낙원,,,전체관람가,20181225,93,애니메이션,
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,,전체관람가,20181219,103,애니메이션,Wataru Takahashi
20168773,마약왕,The Drug King,,청소년관람불가,20181219,139,범죄,WOO Min-ho
20182421,그린치,The Grinch,,전체관람가,20181219,89,애니메이션,Scott Mosier
20183238,스파이더맨: 뉴 유니버스,Spider-Man: Into the Spider-Verse,,12세이상관람가,20181212,116,애니메이션,Bob Persichetti
20183375,극장판 포켓몬스터 모두의 이야기,Pokemon the Movie: The Power of Us,劇場版ポケットモンスター みんなの物語,전체관람가,20181219,98,애니메이션,Tetsuo Yajima
20177552,국가부도의 날,Default,,12세이상관람가,20181128,114,드라마,CHOI Kook-hee
20189843,호두까기 인형과 4개의 왕국,The Nutcracker and the Four Realms,,전체관람가,20181206,99,판타지,Lasse Hallstrom
20179230,도어락,Door Lock,,15세이상관람가,20181205,102,스릴러,LEE Kwon
20182082,부탁 하나만 들어줘,A Simple Favor,,청소년관람불가,20181212,116,스릴러,Paul Feig
20183745,런닝맨 : 풀룰루의 역습,Running Man,,전체관람가,20181205,66,애니메이션,YOON Jun-sang
20183685,엘리엇과 산타 썰매단,Elliot the Littlest Reindeer,,전체관람가,20181212,89,애니메이션,Jennifer Westcott
20177538,완벽한 타인,Intimate Strangers,,15세이상관람가,20181031,115,드라마,LEE Jae-kyoo
20178825,모털 엔진,Mortal Engines,,12세이상관람가,20181205,128,액션,Christian Rivers
20184481,성난황소,Unstoppable,,15세이상관람가,20181122,115,범죄,KIM Min-ho
